Subject,Block_number,Trial_number,Abs_ref_stim,Resp_Correct,RT,out,angle,same
103,1,1,7,t,1237,t,0,t
103,1,2,10,t,1640,t,0,t
103,1,3,13,nil,4599,t,100,t
103,1,4,12,t,3209,t,50,t
103,1,5,10,nil,5406,t,50,nil
103,1,6,11,t,6086,t,50,nil
103,1,7,5,t,3900,t,50,t
103,1,8,2,nil,8130,t,100,nil
103,1,9,11,t,4383,t,0,nil
103,1,10,4,nil,4209,t,100,nil
103,1,11,7,t,3500,nil,50,t
103,1,12,12,t,3788,nil,50,nil
103,1,13,15,t,4934,nil,0,nil
103,1,14,11,t,5501,t,50,t
103,1,15,10,t,4000,nil,0,nil
103,1,16,9,t,4717,nil,150,nil
103,1,17,13,t,4977,t,0,nil
103,1,18,1,t,1029,nil,0,t
103,1,19,11,t,1394,nil,0,t
103,1,20,16,t,3757,nil,100,nil
103,1,21,3,nil,6141,t,100,nil
103,1,22,5,t,2882,nil,0,nil
103,1,23,16,t,3318,nil,150,nil
103,1,24,3,t,5076,t,100,t
103,1,25,9,t,4584,nil,150,t
103,1,26,9,nil,2444,t,50,t
103,1,27,1,t,4372,nil,50,nil
103,1,28,8,nil,2576,t,0,nil
103,1,29,4,t,3378,nil,100,t
103,1,30,12,t,4881,nil,150,t
103,1,31,15,t,5523,t,150,t
103,1,32,9,nil,3766,t,100,nil
103,1,33,8,nil,2545,t,50,t
103,1,34,13,t,1610,nil,50,t
103,1,35,15,t,4145,nil,100,t
103,1,36,13,t,2068,nil,100,nil
103,1,37,15,t,3172,nil,150,nil
103,1,38,15,t,1085,nil,0,t
103,1,39,6,t,5955,t,150,nil
103,1,40,2,t,4432,nil,150,t
103,1,41,16,t,1451,nil,50,t
103,1,42,2,t,1182,nil,50,nil
103,1,43,16,t,838,nil,0,t
103,1,44,5,t,3649,nil,150,nil
103,1,45,5,t,4487,nil,100,t
103,1,46,1,t,2057,nil,0,nil
103,1,47,12,t,829,nil,0,t
103,1,48,10,t,6984,t,100,nil
103,1,49,3,t,1408,nil,0,nil
103,1,50,7,t,4218,nil,100,nil
103,1,51,13,t,1193,nil,0,t
103,1,52,6,t,928,nil,0,t
103,1,53,4,t,1202,nil,50,t
103,1,54,12,t,1029,nil,100,t
103,1,55,2,t,1819,nil,100,t
103,1,56,4,t,969,nil,50,nil
103,1,57,1,t,2830,nil,150,t
103,1,58,1,t,1508,nil,50,t
103,1,59,6,t,1531,nil,150,t
103,1,60,13,t,1591,nil,150,t
103,1,61,16,t,2182,nil,0,nil
103,1,62,10,t,7220,t,150,nil
103,1,63,3,t,729,nil,0,t
103,1,64,8,t,1932,nil,100,nil
103,1,65,4,t,4481,nil,150,t
103,1,66,9,t,1130,nil,0,nil
103,1,67,4,t,1065,nil,0,nil
103,1,68,12,t,907,nil,0,nil
103,1,69,6,t,1314,nil,0,nil
103,1,70,5,t,5015,t,50,nil
103,1,71,14,t,876,nil,0,t
103,1,72,2,t,6252,t,150,nil
103,1,73,5,t,724,nil,0,t
103,1,74,14,nil,7590,t,100,t
103,1,75,10,t,5884,t,50,t
103,1,76,14,t,6206,t,150,nil
103,1,77,12,t,1745,nil,150,nil
103,1,78,7,t,4356,nil,100,t
103,1,79,16,t,5951,t,50,nil
103,1,80,15,t,2432,nil,50,t
103,1,81,1,t,3497,nil,100,t
103,1,82,8,t,1340,nil,50,nil
103,1,83,12,t,2314,nil,100,nil
103,1,84,11,t,1295,nil,100,nil
103,1,85,1,t,3761,nil,150,nil
103,1,86,15,t,2327,nil,100,nil
103,1,87,14,t,1776,nil,100,nil
103,1,88,16,t,1755,nil,150,t
103,1,89,4,t,7747,t,150,nil
103,1,90,10,nil,4144,t,150,t
103,1,91,14,t,2104,nil,150,t
103,1,92,3,t,2070,nil,150,t
103,1,93,3,t,2268,nil,50,t
103,1,94,7,nil,10712,t,150,nil
103,1,95,8,nil,2352,t,100,t
103,1,96,14,t,4567,nil,50,nil
103,1,97,7,t,1406,nil,50,nil
103,1,98,13,t,1531,nil,150,nil
103,1,99,10,t,2914,nil,100,t
103,1,100,9,t,1345,nil,50,nil
103,1,101,3,t,2455,nil,50,nil
103,1,102,11,t,3692,nil,150,nil
103,1,103,13,t,6127,t,50,nil
103,1,104,9,nil,2105,t,100,t
103,1,105,15,t,2152,nil,50,nil
103,1,106,7,t,1269,nil,0,nil
103,1,107,11,t,1168,nil,100,t
103,1,108,14,t,899,nil,0,nil
103,1,109,2,t,884,nil,0,nil
103,1,110,8,t,5470,t,150,t
103,1,111,6,t,6021,t,100,nil
103,1,112,2,t,2298,nil,50,t
103,1,113,16,t,1694,nil,100,t
103,1,114,9,t,957,nil,0,t
103,1,115,5,t,3380,nil,150,t
103,1,116,7,t,1548,nil,150,t
103,1,117,8,t,2513,nil,150,nil
103,1,118,11,t,2793,nil,150,t
103,1,119,3,t,1687,nil,150,nil
103,1,120,14,t,1730,nil,50,t
103,1,121,8,t,588,nil,0,t
103,1,122,6,t,1201,nil,100,t
103,1,123,1,t,1246,nil,100,nil
103,1,124,6,t,1573,nil,50,t
103,1,125,4,t,523,nil,0,t
103,1,126,5,t,1014,nil,100,nil
103,1,127,6,t,1263,nil,50,nil
103,1,128,2,t,1317,t,0,t
103,2,1,11,t,3396,nil,100,t
103,2,2,11,t,542,nil,50,t
103,2,3,16,t,872,nil,0,nil
103,2,4,10,t,5773,t,100,nil
103,2,5,1,t,2221,nil,100,nil
103,2,6,12,t,916,nil,50,nil
103,2,7,13,t,2786,nil,150,t
103,2,8,5,t,2581,nil,150,t
103,2,9,3,t,1159,nil,150,t
103,2,10,3,t,1670,nil,0,nil
103,2,11,14,t,1424,nil,50,t
103,2,12,11,t,789,nil,0,nil
103,2,13,9,t,1903,nil,100,nil
103,2,14,4,t,1612,nil,0,nil
103,2,15,13,nil,5402,t,100,nil
103,2,16,12,t,640,nil,0,t
103,2,17,13,t,1162,nil,50,t
103,2,18,7,t,1264,nil,100,nil
103,2,19,14,t,1524,nil,100,nil
103,2,20,9,t,3434,nil,100,t
103,2,21,3,t,3537,nil,100,nil
103,2,22,10,t,2229,nil,50,nil
103,2,23,1,nil,6646,t,50,nil
103,2,24,16,t,2485,nil,150,t
103,2,25,8,t,5720,t,150,nil
103,2,26,10,t,2162,nil,150,t
103,2,27,9,t,996,nil,0,nil
103,2,28,16,t,3662,nil,150,nil
103,2,29,6,t,1122,nil,100,t
103,2,30,5,t,7270,t,50,t
103,2,31,5,t,813,nil,0,t
103,2,32,1,t,3378,nil,50,t
103,2,33,15,t,1477,nil,0,nil
103,2,34,8,nil,1989,t,150,t
103,2,35,6,nil,4462,t,100,nil
103,2,36,13,t,6148,t,100,t
103,2,37,7,t,859,nil,0,t
103,2,38,15,nil,5960,t,50,nil
103,2,39,12,t,970,nil,0,nil
103,2,40,7,t,3522,nil,100,t
103,2,41,2,t,3194,nil,100,t
103,2,42,3,t,2674,nil,150,nil
103,2,43,14,t,3416,nil,150,nil
103,2,44,13,t,5183,t,150,nil
103,2,45,2,t,839,nil,0,nil
103,2,46,14,t,2512,nil,50,nil
103,2,47,1,t,2520,nil,0,t
103,2,48,15,t,3642,nil,150,nil
103,2,49,6,nil,3380,t,150,nil
103,2,50,11,t,1282,nil,100,nil
103,2,51,3,nil,5991,t,50,nil
103,2,52,11,nil,3976,t,150,t
103,2,53,12,t,1275,nil,100,nil
103,2,54,3,t,1341,nil,0,t
103,2,55,5,t,1610,nil,150,nil
103,2,56,8,t,2269,nil,100,nil
103,2,57,16,t,1865,nil,50,t
103,2,58,4,t,991,nil,50,nil
103,2,59,4,t,3855,nil,150,nil
103,2,60,5,t,3292,nil,50,nil
103,2,61,6,t,1877,nil,50,nil
103,2,62,16,t,882,nil,0,t
103,2,63,15,t,725,nil,0,t
103,2,64,11,t,1229,nil,150,nil
103,2,65,8,t,1004,nil,50,nil
103,2,66,9,nil,872,t,150,t
103,2,67,6,t,862,nil,0,nil
103,2,68,2,t,780,nil,0,t
103,2,69,4,t,2043,nil,150,t
103,2,70,1,t,1437,nil,150,nil
103,2,71,2,t,3560,nil,150,t
103,2,72,16,t,1587,nil,100,t
103,2,73,4,t,1598,nil,50,t
103,2,74,8,nil,1073,t,50,t
103,2,75,4,t,1218,nil,100,t
103,2,76,13,t,562,nil,0,t
103,2,77,11,t,456,nil,0,t
103,2,78,6,t,518,nil,0,t
103,2,79,3,t,777,nil,50,t
103,2,80,7,t,1175,nil,50,t
103,2,81,15,t,2068,nil,50,t
103,2,82,6,t,1928,nil,50,t
103,2,83,7,t,1427,nil,150,nil
103,2,84,7,t,1222,nil,50,nil
103,2,85,13,t,845,nil,50,nil
103,2,86,9,t,1257,nil,50,nil
103,2,87,2,t,1596,nil,50,t
103,2,88,11,t,799,nil,50,nil
103,2,89,4,t,618,nil,0,t
103,2,90,16,t,796,nil,100,nil
103,2,91,1,t,1048,nil,0,nil
103,2,92,5,t,2274,nil,100,t
103,2,93,10,t,1676,nil,100,t
103,2,94,2,t,2887,nil,100,nil
103,2,95,15,t,1954,nil,100,nil
103,2,96,12,t,3556,nil,150,nil
103,2,97,8,t,1449,nil,0,nil
103,2,98,9,t,1311,nil,0,t
103,2,99,15,t,3587,nil,100,t
103,2,100,3,t,1370,nil,100,t
103,2,101,15,t,2193,nil,150,t
103,2,102,16,t,5504,t,50,nil
103,2,103,7,t,1108,nil,0,nil
103,2,104,4,t,2932,nil,100,nil
103,2,105,8,t,2346,nil,100,t
103,2,106,2,t,4744,nil,150,nil
103,2,107,14,t,3068,nil,100,t
103,2,108,12,t,1456,nil,150,t
103,2,109,6,t,2305,nil,150,t
103,2,110,10,t,2637,nil,0,t
103,2,111,5,t,7457,t,100,nil
103,2,112,14,nil,670,t,0,nil
103,2,113,10,t,1131,nil,0,nil
103,2,114,1,t,2950,nil,150,t
103,2,115,5,t,727,nil,0,nil
103,2,116,2,t,1772,nil,50,nil
103,2,117,7,t,1575,nil,150,t
103,2,118,12,t,879,nil,100,t
103,2,119,12,t,702,nil,50,t
103,2,120,1,t,1482,nil,100,t
103,2,121,9,t,1496,nil,50,t
103,2,122,13,t,797,nil,0,nil
103,2,123,14,t,1306,nil,150,t
103,2,124,10,t,1380,nil,150,nil
103,2,125,14,t,705,nil,0,t
103,2,126,10,t,1278,nil,50,t
103,2,127,8,t,554,nil,0,t
103,2,128,9,t,1273,t,150,nil
103,3,1,3,t,4872,nil,150,t
103,3,2,16,t,962,nil,0,nil
103,3,3,13,t,828,nil,0,nil
103,3,4,1,t,2868,nil,100,t
103,3,5,10,t,1567,nil,50,t
103,3,6,15,t,5651,t,100,nil
103,3,7,6,t,1992,nil,150,nil
103,3,8,14,t,2212,nil,100,nil
103,3,9,2,t,1805,nil,150,t
103,3,10,3,t,1998,nil,150,nil
103,3,11,5,t,2543,nil,100,t
103,3,12,10,t,3012,nil,150,t
103,3,13,1,t,3156,nil,150,nil
103,3,14,8,t,1711,nil,0,nil
103,3,15,6,t,1785,nil,100,t
103,3,16,11,t,1989,nil,100,t
103,3,17,13,t,3562,nil,100,t
103,3,18,16,t,1930,nil,100,t
103,3,19,5,t,928,nil,0,t
103,3,20,9,t,1082,nil,50,t
103,3,21,9,t,594,nil,0,t
103,3,22,3,t,1075,nil,0,nil
103,3,23,16,t,1981,nil,150,t
103,3,24,14,t,1883,nil,150,t
103,3,25,3,t,2015,nil,100,t
103,3,26,6,t,3201,nil,50,nil
103,3,27,8,t,2017,nil,50,t
103,3,28,2,t,1283,nil,50,t
103,3,29,4,t,489,nil,0,t
103,3,30,2,t,1664,nil,100,nil
103,3,31,14,t,1844,nil,150,nil
103,3,32,15,t,1142,nil,0,t
103,3,33,7,t,587,nil,0,t
103,3,34,3,t,3478,nil,50,t
103,3,35,3,t,513,nil,0,t
103,3,36,13,t,3924,nil,150,nil
103,3,37,8,t,2608,nil,150,nil
103,3,38,2,t,1540,nil,0,nil
103,3,39,6,t,5953,t,100,nil
103,3,40,5,t,2163,nil,150,t
103,3,41,12,t,1483,nil,150,nil
103,3,42,1,t,2151,nil,50,t
103,3,43,8,nil,5592,t,150,t
103,3,44,13,t,1932,nil,50,t
103,3,45,4,t,4848,nil,150,nil
103,3,46,8,t,1904,nil,50,nil
103,3,47,15,t,5946,t,0,nil
